dataset,method,concat_ACC,concat_delta_vs_TAC,concat_delta_vs_KEC,train_ACC,train_delta_vs_TAC,train_delta_vs_KEC
CIFAR-20,SAGE-AGPC[adaptive],0.5677,0.023399999999999976,-0.007000000000000006,0.5044,-0.019400000000000084,-0.02310000000000001
CIFAR-20,SAGE-HYB[adaptive],0.4887,-0.05559999999999998,-0.08599999999999997,0.5184,-0.005400000000000071,-0.009099999999999997
STL-10,TAC[g=0.0],0.86175,0.0,-0.0014999999999999458,0.98275,0.0,-0.0017500000000000293
STL-10,KEC[g=0.5],0.86325,0.0014999999999999458,0.0,0.9845,0.0017500000000000293,0.0
STL-10,SAGE-A[g=0.5],0.8635,0.0017500000000000293,0.0002500000000000835,0.984625,0.00187499999999996,0.00012499999999993072
STL-10,SAGE-AG[g=0.0],0.838625,-0.023125000000000062,-0.024625000000000008,0.96525,-0.01749999999999996,-0.01924999999999999
STL-10,SAGE-AG[g=0.5],0.838625,-0.023125000000000062,-0.024625000000000008,0.9855,0.00275000000000003,0.0010000000000000009
STL-10,SAGE-AGP[g=0.0],0.8605,-0.0012499999999999734,-0.002749999999999919,0.965875,-0.016874999999999973,-0.018625000000000003
STL-10,SAGE-AGP[g=0.25],0.8605,-0.0012499999999999734,-0.002749999999999919,0.9855,0.00275000000000003,0.0010000000000000009
STL-10,SAGE-AGP[g=0.5],0.8605,-0.0012499999999999734,-0.002749999999999919,0.985,0.0022499999999999742,0.0004999999999999449
STL-10,SAGE-AGC[adaptive],0.838625,-0.023125000000000062,-0.024625000000000008,0.984625,0.00187499999999996,0.00012499999999993072
STL-10,SAGE-AGPC[adaptive],0.8605,-0.0012499999999999734,-0.002749999999999919,0.985375,0.0026249999999999885,0.0008749999999999591
STL-10,SAGE-HYB[adaptive],0.859875,-0.001875000000000071,-0.003375000000000017,0.985,0.0022499999999999742,0.0004999999999999449
DTD,TAC[g=0.0],0.45691489361702126,0.0,0.012765957446808474,0.48723404255319147,0.0,0.004255319148936176
DTD,KEC[g=0.5],0.4441489361702128,-0.012765957446808474,0.0,0.4829787234042553,-0.004255319148936176,0.0
DTD,SAGE-A[g=0.5],0.45904255319148934,0.002127659574468088,0.014893617021276562,0.47127659574468084,-0.015957446808510634,-0.011702127659574457
DTD,SAGE-AG[g=0.0],0.47925531914893615,0.022340425531914898,0.03510638297872337,0.5090425531914894,0.021808510638297918,0.026063829787234094
DTD,SAGE-AG[g=0.5],0.47925531914893615,0.022340425531914898,0.03510638297872337,0.5074468085106383,0.02021276595744681,0.024468085106382986
DTD,SAGE-AGP[g=0.0],0.4734042553191489,0.01648936170212767,0.029255319148936143,0.5058510638297873,0.018617021276595813,0.02287234042553199
DTD,SAGE-AGP[g=0.25],0.4734042553191489,0.01648936170212767,0.029255319148936143,0.4946808510638298,0.007446808510638336,0.011702127659574513
DTD,SAGE-AGP[g=0.5],0.4734042553191489,0.01648936170212767,0.029255319148936143,0.5010638297872341,0.013829787234042601,0.018085106382978777
DTD,SAGE-AGC[adaptive],0.47925531914893615,0.022340425531914898,0.03510638297872337,0.4925531914893617,0.005319148936170248,0.009574468085106425
DTD,SAGE-AGPC[adaptive],0.4734042553191489,0.01648936170212767,0.029255319148936143,0.4952127659574468,0.007978723404255317,0.012234042553191493
DTD,SAGE-HYB[adaptive],0.4622340425531915,0.005319148936170248,0.018085106382978722,0.48404255319148937,-0.0031914893617021045,0.0010638297872340718
StanfordDogs,TAC[g=0.0],0.4377065111758989,0.0,0.013702623906705513,0.45801749271137027,0.0,0.021525753158406213
StanfordDogs,KEC[g=0.5],0.4240038872691934,-0.013702623906705513,0.0,0.43649173955296405,-0.021525753158406213,0.0
StanfordDogs,SAGE-A[g=0.5],0.42750242954324585,-0.010204081632653073,0.0034985422740524408,0.4400388726919339,-0.017978620019436342,0.0035471331389698713
StanfordDogs,SAGE-AG[g=0.0],0.43357628765792033,-0.004130223517978593,0.00957240038872692,0.4738095238095238,0.015792031098153525,0.03731778425655974
StanfordDogs,SAGE-AG[g=0.5],0.43357628765792033,-0.004130223517978593,0.00957240038872692,0.450485908649174,-0.007531584062196284,0.01399416909620993
StanfordDogs,SAGE-AGP[g=0.0],0.4399902818270165,0.002283770651117567,0.01598639455782308,0.49067055393586007,0.0326530612244898,0.05417881438289601
StanfordDogs,SAGE-AGP[g=0.25],0.4399902818270165,0.002283770651117567,0.01598639455782308,0.4640913508260447,0.006073858114674424,0.027599611273080638
StanfordDogs,SAGE-AGP[g=0.5],0.4399902818270165,0.002283770651117567,0.01598639455782308,0.4472303206997085,-0.010787172011661794,0.01073858114674442
StanfordDogs,SAGE-AGC[adaptive],0.43357628765792033,-0.004130223517978593,0.00957240038872692,0.45053449951409136,-0.007482993197278909,0.014042759961127305
StanfordDogs,SAGE-AGPC[adaptive],0.4399902818270165,0.002283770651117567,0.01598639455782308,0.4761418853255588,0.018124392614188523,0.039650145772594736
StanfordDogs,SAGE-HYB[adaptive],0.43615160349854226,-0.001554907677356665,0.012147716229348848,0.45826044703595725,0.00024295432458698585,0.0217687074829932
Flowers,TAC[g=0.0],0.6774509803921569,0.0,-0.00588235294117645,0.4176470588235294,0.0,-0.02745098039215682
Flowers,KEC[g=0.5],0.6833333333333333,0.00588235294117645,0.0,0.44509803921568625,0.02745098039215682,0.0
Flowers,SAGE-A[g=0.5],0.6843137254901961,0.006862745098039191,0.0009803921568627416,0.4549019607843137,0.03725490196078429,0.009803921568627472
Flowers,SAGE-AG[g=0.0],0.6803921568627451,0.002941176470588225,-0.002941176470588225,0.40490196078431373,-0.012745098039215697,-0.04019607843137252
Flowers,SAGE-AG[g=0.5],0.6803921568627451,0.002941176470588225,-0.002941176470588225,0.46176470588235297,0.04411764705882354,0.01666666666666672
Flowers,SAGE-AGP[g=0.0],0.6725490196078432,-0.004901960784313708,-0.010784313725490158,0.40980392156862744,-0.007843137254901988,-0.03529411764705881
Flowers,SAGE-AGP[g=0.25],0.6725490196078432,-0.004901960784313708,-0.010784313725490158,0.42745098039215684,0.009803921568627416,-0.017647058823529405
Flowers,SAGE-AGP[g=0.5],0.6725490196078432,-0.004901960784313708,-0.010784313725490158,0.45,0.032352941176470584,0.004901960784313764
Flowers,SAGE-AGC[adaptive],0.6803921568627451,0.002941176470588225,-0.002941176470588225,0.40588235294117647,-0.011764705882352955,-0.039215686274509776
Flowers,SAGE-AGPC[adaptive],0.6725490196078432,-0.004901960784313708,-0.010784313725490158,0.42058823529411765,0.002941176470588225,-0.024509803921568596
Flowers,SAGE-HYB[adaptive],0.6735294117647059,-0.0039215686274509665,-0.009803921568627416,0.41274509803921566,-0.004901960784313764,-0.032352941176470584
Pets,TAC[g=0.0],0.702098664486236,0.0,0.040065412919051524,0.7735077677841373,0.0,-0.0035431997819569405
Pets,KEC[g=0.5],0.6620332515671845,-0.040065412919051524,0.0,0.7770509675660943,0.0035431997819569405,0.0
Pets,SAGE-A[g=0.5],0.6710275279367676,-0.03107113654946847,0.008994276369583054,0.7601526301444536,-0.013355137639683767,-0.016898337421640708
Pets,SAGE-AG[g=0.0],0.678659035159444,-0.023439629326792,0.016625783592259524,0.8062142273098937,0.03270645952575635,0.029163259743799408
Pets,SAGE-AG[g=0.5],0.678659035159444,-0.023439629326792,0.016625783592259524,0.7835922594712456,0.010084491687108232,0.006541291905151292
Pets,SAGE-AGP[g=0.0],0.6860179885527392,-0.016080675933496824,0.0239847369855547,0.8078495502861816,0.03434178250204423,0.030798582720087286
Pets,SAGE-AGP[g=0.25],0.6860179885527392,-0.016080675933496824,0.0239847369855547,0.821749795584628,0.048242027800490694,0.044698828018533754
Pets,SAGE-AGP[g=0.5],0.6860179885527392,-0.016080675933496824,0.0239847369855547,0.8048514581629872,0.031343690378849876,0.027800490596892935
Pets,SAGE-AGC[adaptive],0.678659035159444,-0.023439629326792,0.016625783592259524,0.8007631507222677,0.027255382938130346,0.023712183156173405
Pets,SAGE-AGPC[adaptive],0.6860179885527392,-0.016080675933496824,0.0239847369855547,0.7803216135186699,0.0068138457345325865,0.003270645952575646
Pets,SAGE-HYB[adaptive],0.6715726355955302,-0.03052602889070588,0.009539384028345643,0.8032161351866993,0.029708367402561997,0.026165167620605057
